"id","first_option","first_link","second_option","second_link","probability"
"schelpzwammen1","Onderzijde vrijwel glad of met aders, zonder duidelijke lamellen","schelpzwammen2","Onderzijde met duidelijke lamellen","schelpzwammen4","1"
"schelpzwammen2","Op takjes. Hoed geelbruin, oranjebruin of soms blauwig, naar de rand wittig","Plicaturopsis crispa","Op kruidachtigen of mossen. Hoed wit, gelig of licht grijs","schelpzwammen3","1"
"schelpzwammen3","Op mossen","Arrhenia retiruga","Op kruidachtigen (vaak brandnetel)","Calyptella capula-groep","1"
"schelpzwammen4","Lamellen overlangs gespleten, bij droogte naar beide naastliggende lamellen omkrullend. Op loofhout (soms naaldhout), vooral op open plaatsen","Schizophyllum commune","Lamellen niet gespleten, niet bij droogte omkrullend","schelpzwammen5","1"
"schelpzwammen5","Lamellen grof-gekarteld gezaagd. Geur sterk naar anijs","Lentinellus cochleatus","Lamellen niet grof gekarteld-gezaagd; lamelsnede gaaf tot bewimperd","schelpzwammen6","1"
"schelpzwammen6","Sporee bruin","schelpzwammen7","Sporee wit tot oudroze","schelpzwammen12","1"
"schelpzwammen7","Lamellen gemakkelijk van hoedvlees te scheiden. Paddenstoel relatief dikvlezig. Op naaldhout","Tapinella panuoides","Lamellen niet van vlees te scheiden. Paddenstoel dunvlezig","schelpzwammen8","1"
"schelpzwammen8","Hoed wit tot geelachtig. Steel alleen in zeer jonge exemplaren zichtbaar, paddenstoel later zijdelings aangehecht. Sporee geelbruin tot rozebruin. Op hout of stengels van kruidachtige planten","schelpzwammen9","Hoed bruin tot grijsbruin. Steel excentrisch of zijdelings aangehecht, ook duidelijk zichtbaar bij oudere vruchtlichamen","schelpzwammen11","1"
"schelpzwammen9","Vlees met een elastische, gelatineuze laag","Crepidotus mollis","Vlees zonder elastische, gelatineuze laag","schelpzwammen10","1"
"schelpzwammen10","Hoed geel. Op stengels van kruiden","Crepidotus luteolus","Hoed wit. Op takjes","Crepidotus variabilis ss. lato","1"
"schelpzwammen11","Hoed glad, grijsbruin. Sporee licht purperbruin","Deconica horizontalis ss. lato","Hoed iets melig-korrelig (L!), niet glad, geelbruin (met olijftint). Sporee bruin. Meestal op takjes","Simocybe haustellaris","1"
"schelpzwammen12","Sporee oudroze","schelpzwammen13","Sporee wit of bleek geel","schelpzwammen14","1"
"schelpzwammen13","Groot. Hoedhuid gelatineus, sterk geaderd. Hoed oranjeroze. Op iepenhout","Rhodotus palmatus","Klein. Hoedhuid niet gelatineus, oppervlak niet geaderd, wit","Clitopilus hobsonii","1"
"schelpzwammen14","Paddenstoel in jonge toestand met velum aan de hoedrand","Pleurotus dryinus","Paddenstoel zonder velum","schelpzwammen15","1"
"schelpzwammen15","Hoedhuid en vlees met gelatineuze laag","schelpzwammen16","Hoedhuid en vlees zonder gelatineuze laag (maar soms lamelsnede gelatineus!)","schelpzwammen18","1"
"schelpzwammen16","Hoed geelgroen tot donker groenbruin. Laat in het jaar verschijnend","Sarcomyxa serotina","Hoed zonder groene tinten","schelpzwammen17","1"
"schelpzwammen17","Hoed klein, tot 15 mm, donker grijsbruin, fijn schubbig-harig. Lamellen grijzig met witte snede","Resupinatus applicatus ss. lato","Hoed groter, tot 40 mm, viltig. Lamellen wit, zonder opvallend gekleurde snede","Hohenbuehelia atrocoerulea-groep","1"
"schelpzwammen18","Vlees scherp smakend, als peper. Hoed grauw okergeel. Op eikenhout","Panellus stipticus","Vlees niet scherp smakend","schelpzwammen19","1"
"schelpzwammen19","Op naaldhout. Hoed wit, klein. Lamelsnede gelatineus","Panellus mitis","Op loofhout. Hoed gekleurd of wit, groot. Lamelsnede niet gelatineus","Pleurotus ostreatus","1"
"melkzwammen1","Melksap oranje (kleur van worteltjes)","melkzwammen2","Melksap met andere kleur","melkzwammen3","1"
"melkzwammen2","Onder den. Hoed zonder groenige tinten","Lactarius deliciosus","Onder fijnspar. Hoed met duidelijk groene tinten","Lactarius deterrimus","1"
"melkzwammen3","Hoed wittig of zeer bleek gekleurd, ook bij jonge exemplaren","melkzwammen4","Hoed duidelijk gekleurd, vooral bij jonge exemplaren","melkzwammen6","1"
"melkzwammen4","Hoed groot, meer dan 10 cm diameter","melkzwammen5","Hoed kleiner, minder dan 10 cm diameter. Hoedrand wollig-harig. Bij berk","Lactarius pubescens","1"
"melkzwammen5","Hoed kleverig. Lamellen roze. Melksap scherp. Bij populier en kruipwilg","Lactarius controversus","Hoed fluwelig-viltig. Lamellen zonder roze. Melksap mild (maar vlees wel scherp!). Bij loofbomen, maar niet bij populier of wilg","Lactifluus vellereus","1"
"melkzwammen6","Hoedrand wollig-harig ('baardig'). Bij berk","melkzwammen7","Hoedrand zonder haren, soms is de hoedrand wel iets fluweliger dan de rest van het hoedoppervlak","melkzwammen8","1"
"melkzwammen7","Hoed sterk concentrisch gezoneerd, vleeskleurig of meer oranjebruin","Lactarius torminosus","Hoed niet of nauwelijks gezoneerd, bleek roze of oranje","Lactarius pubescens","1"
"melkzwammen8","Melksap wit, aan de lucht meteen zwavelgeel verkleurend. Hoed oker, concentrisch gezoneerd. Bij eik","Lactarius chrysorrheus","Melksap niet aan de lucht onmiddellijk zwavelgeel (maar soms wel op een zakdoek na enkele minuten geel wordend)","melkzwammen9","1"
"melkzwammen9","Hoed kleverig tot slijmerig","melkzwammen10","Hoed droog","melkzwammen15","1"
"melkzwammen10","Hoed donker grijsgroen, groenig bruin tot bijna groenig zwart","melkzwammen11","Hoed zonder groenige tinten","melkzwammen12","1"
"melkzwammen11","Hoed aan de rand fluwelig, elders glad en kleverig, groenig bruin tot bijna groenig zwart. Lamellen crème met bruine vlekjes. Bij naaldbomen en berk","Lactarius necator","Hoed aan de rand niet fluwelig, grijsgroen. Lamellen wit, zonder bruine vlekken. Bij beuk","Lactarius blennius","1"
"melkzwammen12","Hoed oranje, concentrisch gezoneerd","Lactarius zonarius","Hoed niet oranje, meestal zonder concentrische zones","melkzwammen13","1"
"melkzwammen13","Lamellen ver uiteen, geel. Bij hazelaar","Lactarius pyrogalus","Lamellen vrij dicht opeen, crème tot wittig","melkzwammen14","1"
"melkzwammen14","Melksap bij opdrogen wat gelig, lamellen crème. Hoed grijsbruin. Bij haagbeuk","Lactarius circellatus","Melksap bij opdrogen grijzig, lamellen wit. Hoed grijs tot grijzig roodbruin. Bij berk","Lactarius vietus","1"
"melkzwammen15","Paddenstoel met duidelijke kokosgeur. Bij berk","Lactarius glyciosmus","Paddenstoel zonder kokosgeur, soms wel met andere opvallende geur","melkzwammen16","1"
"melkzwammen16","Hoed viltig tot fijn schubbig. Paddenstoel bij opdrogen sterk naar maggi ruikend. Melksap waterig","Lactarius helvus","Hoed kaal, niet viltig of fijn schubbig","melkzwammen17","1"
"melkzwammen17","Vruchtlichaam klein, hoeddiameter meestal minder dan 3 cm. Bij els","melkzwammen18","Vruchtlichaam groter, hoeddiameter meestal meer dan 5 cm. Niet bij els","melkzwammen19","1"
"melkzwammen18","Hoed oranjerood, zonder groene tint","Lactarius omphaliformis","Hoed bruin, met opvallende groene of olijftint in het centrum","Lactarius obscuratus","1"
"melkzwammen19","Hoed helder oranje, steenrood tot oranjebruin","melkzwammen20","Hoed minder helder gekleurd, oker, bruin tot donker roodbruin","melkzwammen21","1"
"melkzwammen20","Hoed helder oranje tot oranjerood","Lactarius aurantiacus","Hoed steenrood tot roodbruin","Lactarius fulvissimus","1"
"melkzwammen21","Hoed in het centrum met een opvallende papil. Melksap zeer scherp. Bij berk en naaldbomen","Lactarius rufus","Hoed in het centrum zonder opvallende papil. Melksap niet zeer scherp","melkzwammen22","1"
"melkzwammen22","Hoed niet vlekkerig/schilferig","melkzwammen23","Hoed duidelijk vlekkerig of wat schilferig, geelbruin tot roodbruin. Geur opvallend, naar bedwantsen. Bij eik","Lactarius quietus","1"
"melkzwammen23","Hoedrand (vooral bij jonge exemplaren) opvallend bleker, gekarteld. Hoed leverkleurig. Melksap wit, op een zakdoek geel verkleurend. Bij naaldbomen, meestal laat in het jaar","Lactarius hepaticus","Hoedrand niet opvallend bleker en niet gekarteld. Meestal bij loofbomen","melkzwammen24","1"
"melkzwammen24","Melksap waterig, bijna doorzichtig. Lamellen gelig. Geur naar bedwantsen","Lactarius serifluus","Melksap wit, ondoorzichtig","melkzwammen25","1"
"melkzwammen25","Paddenstoel bij opdrogen met sterke maggigeur. Melksap mild","Lactarius camphoratus","Paddenstoel bij opdrogen zonder maggigeur","melkzwammen26","1"
"melkzwammen26","Melksap met duidelijk bittere (na)smaak. Bij beuk","Lactarius subdulcis","Melksap zonder bittere (na)smaak","melkzwammen27","1"
"melkzwammen27","Hoedoppervlak opvallend gerimpeld, vooral in het centrum, geelbruin tot bruinoranje","Lactarius tabidus","Hoedoppervlak niet gerimpeld. Hoed oranjebruin tot roodbruin","Lactarius lacunarum","1"
"russulas1","Hoed wit of donker bruin, hoedhuid niet aftrekbaar. Lamellen met tussenlamellen","russulas2","Hoed gekleurd, indien wit of bruin dan hoedhuid aftrekbaar en tussenlamellen afwezig","russulas4","1"
"russulas2","Hoed vuilwit. Vlees niet verkleurend","Russula delica","Hoed bruin. Vlees aan de lucht uiteindelijk zwartachtig verkleurend","russulas3","1"
"russulas3","Lamellen zeer dik, zeer wijd uiteen","Russula nigricans","Lamellen dun, dicht opeen","Russula densifolia","1"
"russulas4","Hoedrand opvallend gegroefd, daardoor wat knobbelig. Hoed meestal bruin of geelbruin","russulas5","Hoedrand niet opvallend gegroefd en knobbelig","russulas7","1"
"russulas5","Vruchtlichaam fors, hoeddiameter tot 15 cm. Geur onaangenaam zoetig","Russula foetens","Vruchtlichaam minder fors, hoeddiameter gewoonlijk minder dan 8 cm. Geur zonder zoete component","russulas6","1"
"russulas6","Vlees scherm smakend. Steelbasis zonder koperkleurige vlekjes","Russula amoenolens","Vlees mild smakend (maar onaangenaam). Steelbasis met koperkleurige vlekjes","Russula pectinatoides","1"
"russulas7","Steelvlees met toversteentje groen verkleurend. Paddenstoel met een typische geur, vissig","russulas8","Steelvlees met toversteentje niet groen verkleurend. Geur vrijwel nooit vissig","russulas9","1"
"russulas8","Hoed rood. Bij wilg","Russula subrubens","Hoed variabel gekleurd. Gewoonlijk bij eik of beuk","Russula graveolens ss. lato","1"
"russulas9","Hoed geel","russulas10","Hoed niet geel, soms wel met verspreide gele vlekken, vooral bij ouder worden","russulas14","1"
"russulas10","Steelbasis met violette tint. Hoed bijna fluwelig","Russula violeipes","Steelbasis zonder violette tint. Hoed niet fluwelig","russulas11","1"
"russulas11","Lamellen en steel geel. Geur naar vruchtencompote. Smaak scherp. Bij beuk","Russula fellea","Lamellen en steel wit","russulas12","1"
"russulas12","Smaak zeer scherp","Russula solaris","Smaak mild tot hoogstens iets scherp","russulas13","1"
"russulas13","Hoed chromaatgeel. Bij berk op vochtige standplaatsen","Russula claroflava","Hoed matgeel. Bij loof- en naaldbomen, niet beperkt tot vochtige standplaatsen","Russula ochroleuca","1"
"russulas14","Lamellen vettig, dwz dat ze niet gemakkelijk afbrokkelen","Russula cyanoxantha","Lamellen niet vettig, gemakkelijk afbrokkelend","russulas15","1"
"russulas15","Hoed groen, blauwgroen, blauwgrijs of grijs","russulas16","Hoed met andere tint","russulas19","1"
"russulas16","Hoed groen","russulas17","Hoed blauwgrijs tot grijs, soms meer blauwgroen, vaak opvallend berijpt, vooral in het centrum","Russula grisea ss. lato","1"
"russulas17","Lamellen opvallend gevorkt bij de steel","Russula heterophylla","Lamellen niet opvallend gevorkt bij de steel","russulas18","1"
"russulas18","Hoed viltig, openbarstend. Vlees stevig","Russula virescens","Hoed glad, niet openbarstend. Vlees bros","Russula aeruginea","1"
"russulas19","Smaak (zeer) scherp","russulas20","Smaak mild tot nauwelijks scherp, soms iets bitter (in twijfelgevallen beide coupletten proberen!)","russulas30","1"
"russulas20","Hoed met rode of roze tinten, tenminste in jonge toestand","russulas21","Hoed met overwegend andere kleuren, soms kunnen roodachtige tinten ook aanwezig zijn, gemengd met groene en/of paarse tinten","russulas26","1"
"russulas21","Vlees direct onder de hoedhuid roze. Lamellen met blauwige zweem. Vlees stevig. Bij beuk","Russula mairei","Vlees direct onder de hoedhuid niet roze. Lamellen zonder blauwe zweem. Vlees niet stevig","russulas22","1"
"russulas22","Lamellen (helder) geel","russulas23","Lamellen wit tot wittig","russulas24","1"
"russulas23","Bij loofbomen. Steel wit","Russula decipiens-groep","Bij naaldbomen. Steel met paarse inslag","Russula sardonia","1"
"russulas24","Hoed eenkleurig rood, niet verblekend bij ouder worden","Russula emetica ss. lato","Hoed bij ouder wordend opblekend, tot roze, of zelfs vrijwel wittig","russulas25","1"
"russulas25","Sporee zuiver wit. Opvallend broze paddenstoel op voedselarme bodem bij berk","Russula betularum","Sporee crèmekleurig. Paddenstoel vrij stevig. Op rijkere bodem bij eik, beuk en kruipwilg","Russula persicina","1"
"russulas26","Lamelsnede fijn gezaagd. Steel zonder reactie op toversteentjes. Vruchtlichaam met kokosgeur","Russula fragilis","Lamelsnede niet gezaagd. Steel oranje met toversteentjes","russulas27","1"
"russulas27","Hoed in jonge toestand donker purper tot zwartpurper, langzaam opblekend en met gele vlekken. Bij loofbomen, hoofdzakelijk eik. Smaak alleen scherp in de lamellen","Russula undulata","Hoed niet later opblekend met gele vlekken","russulas28","1"
"russulas28","Lamellen wittig. Bij wilg","Russula laccata","Lamellen duidelijk geel gekleurd. Bij berk","russulas29","1"
"russulas29","Steel bij ouderdom geel verkleurend. Hoed in het centrum groenig bruin tot groengeel","Russula versicolor","Steel bij ouderdom niet geel verkleurend. Hoed in het centrum zonder groene tint, meestal paars sterk ontkleurend","Russula exalbicans","1"
"russulas30","Hoedhuid vlak voor hoedrand ophoudend. Smaak nootachtig. Vlees hard. Lamellen bij de steel gevorkt","Russula vesca","Hoedhuid tot aan de hoedrand doorlopend. Smaak niet nootachtig. Lamellen meestal niet bij de steel gevorkt","russulas31","1"
"russulas31","Hoed met overwegend rode tinten","russulas32","Hoed met overwegend andere kleuren","russulas37","1"
"russulas32","Bij den. Hoed meer dan 10 cm","Russula paludosa","Bij loofbomen. Hoed meestal minder dan 10 cm","russulas33","1"
"russulas33","Geur naar menthol. Smaak bitter","Russula pseudointegra","Geur niet naar menthol. Smaak niet bitter","russulas34","1"
"russulas34","Lamellen wit, met roodachtige snede (vooral vlakbij de hoedrand)","Russula velenovskyi","Lamellen geel. Snede meestal gelijkkleurig","russulas35","1"
"russulas35","Geur fruitig","russulas36","Geur onopvallend","Russula nitida","1"
"russulas36","Vlees gelig verkleurend. Hoedrand iets gegroefd","Russula odorata","Vlees wit blijvend. Hoedrand niet gegroefd","Russula risigallina","1"
"russulas37","Hoed in jonge toestand donker purper tot zwartpurper, langzaam opblekend en met gele vlekken. Bij loofbomen, hoofdzakelijk eik","Russula undulata","Hoed niet later opblekend met gele vlekken","russulas38","1"
"russulas38","Hoed met opvallende papil. Smaak van hoedhuid bitter. Bij den","Russula caerulea","Hoed zonder papil. Hoedhuid mild smakend. Steel geel verkleurend","russulas39","1"
"russulas39","Hoedrand glad","Russula brunneoviolacea","Hoedrand gegroefd","russulas40","1"
"russulas40","Hoed in het centrum groenig bruin tot groengeel","Russula versicolor","Hoed in het centrum zeer donker purperbruin","Russula puellaris","1"
"amanieten1","Steel zonder ring. Hoedrand tot halverwege radiair gegroefd","amanieten2","Steel met ring. Hoedrand glad of radiair gegroefd","amanieten3","0.85"
"amanieten2","Hoed oranjebruin. Hoofdzakelijk op zure zandgrond bij berk, eik en beuk","Amanita fulva","Hoed grijs. Hoofdzakelijk op basenrijkebodem, hoofdzakelijk bij eik en populier","Amanita vaginata","0.85"
"amanieten3","Hoedrand glad (bekijk volwassen exemplaren)","amanieten4","Hoedrand radiar gegroefd","amanieten8","0.65"
"amanieten4","Volva als een losse zak om de steelbases zittend. Hoed met groene tinten, meestal zonder velumschubjes of -wratjes","Amanita phalloides","volva niet als losse zak maar in de vorm van wratten en schubben aan de steelbasis. Hoed met velumshubjes of wratjes","amanieten5","0.65"
"amanieten5","Ring aan de bovenzijde gestreept","amanieten6","Ring aan de bovenzijde glad","amanieten7","0.65"
"amanieten6","Vlees aan de lucht bruidrood verkleurend, daardoor steel met roodbruine tint. Wratjes op hoed rossig","Amanita rubescens","Vlees aan de lucht niet verkleurd, daardoor steel zonder rode tinten. Wratjes op hoed grijzig","Amanita excelsa","0.55"
"amanieten7","Hoed geel tot wit. Ring wit","Amanita citrina","Hoed grijsbruin. Ring aan de bovenzijde grijs","Amanita porphyria","0.65"
"amanieten8","Hoed oranje tot rood, meestal met witte schubjes","Amanita muscaria","Hoed (bleek) geel tot bruin","amanieten9","1"
"amanieten9","Hoed wasgeel. Ring vluchtig, steel soms met slechts enkele vage flarden van een ring","Amanita gemmata","Hoed bruin. Ring duidelijk ontwikkeld","Amanita pantherina","0.85"
"parasolzwammen1","Zeer forse paddenstoelen; hoed 10-25 cm diameter, met opgewipte grove schubben","parasolzwammen2","Kleinere paddenstoelen; indien groot dan hoed vrijwel glad of met kleine maar dicht opeenstaande pyramide- achtige schubjes","parasolzwammen4","1"
"parasolzwammen2","Steel gebandeerd. Vlees wit","Macrolepiota procera","Steel niet gebandeerd. Vlees aan de lucht oranje tot roodbruin verkleurend","parasolzwammen3","1"
"parasolzwammen3","Schubben op de hoed duidelijk donkerder dan de achtergrond","Chlorophyllum rhacodes","Schubben op de hoed ongeveer net als de achtergrond gekleurd","Chlorophyllum olivieri","1"
"parasolzwammen4","Hoedrand opvallend gegroefd","Leucocoprinus brebissonii","Hoedrand niet opvallend gegroefd","parasolzwammen5","1"
"parasolzwammen5","Hoed met fijn wittig poeder overdekt","parasolzwammen6","Hoedbedekking niet fijn-poederig","parasolzwammen7","1"
"parasolzwammen6","Hoed bij beschadiging rood verkleurend","Cystolepiota hetieri","Hoed bij beschadiging niet rood verkleurend","Cystolepiota seminuda","1"
"parasolzwammen7","Hoed vrijwel wit","parasolzwammen8","Hoed gekleurd","parasolzwammen9","1"
"parasolzwammen8","Hoed groot, meer dan 10 cm, zijdeachtig. Steel kaal. Vlees geel verkleurend","Leucoagaricus leucothites","Hoed kleiner, tot 7 cm, vezelig. Steel vezelig. Vlees niet geel verkleurend","Lepiota erminea","1"
"parasolzwammen9","Hoed met relatief dikke, pyramide-achtige schubjes","parasolzwammen10","Schubjes op de hoed vezelig, plat liggend of alleen aan de uiteinden opgericht","parasolzwammen11","1"
"parasolzwammen10","Hoed groot, meer dan 10 cm. Lamellen gevorkt","Lepiota aspera","Hoed kleiner, tot 8 cm. Lamellen niet gevorkt","Lepiota echinacea-groep","1"
"parasolzwammen11","Steel sterk wollig, met (bleek) geel velum overdekt","Lepiota magnispora","Steel niet met geel velum wollig overdekt","parasolzwammen12","1"
"parasolzwammen12","Hoedcentrum glad, roodbruin. Schubben aanliggend. Geur sterk, naar fietsbanden of rubber","Lepiota cristata","Hoed in centrum niet glad. Geur niet opvallend","parasolzwammen13","1"
"parasolzwammen13","Hoed en steel met roze tot rozebruine tint","Lepiota subincarnata","Hoed en steel donkerder","parasolzwammen14","1"
"parasolzwammen14","Ring afwezig. Steel met donkerder gordeltjes","Lepiota brunneoincarnata","Ring aanwezig, maar soms onduidelijk","parasolzwammen15","1"
"parasolzwammen15","Lamellen wit, niet verkleurend","Lepiota boudieri","Lamellen wit, later oranje wordend","Lepiota castanea","1"
"honingzwammen1","Steel naar de basis versmald. In dichte bundels. Ring blijvend, met gele tint","Armillaria mellea","Steel naar de basis gelijkdik of knolvormig opgezwollen. In kleine bundels of solitair groeiend. Ring variabel","honingzwammen2","1"
"honingzwammen2","Ring vergankelijk, met gele vlokjes aan de rand. Steel met gelige vlokjes","Armillaria lutea ss. lato","Ring blijvend, meestal met donkerbruine schubjes aan de rand. Steel met witte vlokjes met een donker centrum","Armillaria ostoyae","1"
"fopzwammen1","Gehele paddenstoel violet (indien vers)","Laccaria amethystina","Hoed met roodbruine of oranjebruine tinten","fopzwammen2","1"
"fopzwammen2","Lamellen (bleek) paars. Steelbasis met paars myceliumvilt","Laccaria bicolor","Lamellen roze tot bleek oranje. Geen paars steelvilt aanwezig","fopzwammen3","1"
"fopzwammen3","Hoed opvallend gekroesd, klein (minder dan 2 cm). Steel korter dan hoeddiameter","Laccaria tortilis","Hoed niet gekroesd. Hoed groter. Steel langer","fopzwammen4","1"
"fopzwammen4","Hoed glad, aan de rand doorschijnend gestreept. Steel glad","Laccaria laccata","Hoed vezelig, niet doorschijnend gestreept. Steel grof overlangs vezelig","Laccaria proxima","1"
"wasplaten1","Onder naaldbomen. Hoed slijmerig","Hygrophorus hypothejus","In grasland, soms in loofbos op kale bodem zonder strooisel","wasplaten2","1"
"wasplaten2","Hoed wit tot wasgeel","wasplaten3","Hoed gekleurd, geel, oranje, rood of groenachtig","wasplaten4","1"
"wasplaten3","Hoed wit. Geur onopvallend","Hygrocybe virginea","Hoed wasgeel. Geur sterk naar cederhout","Hygrocybe russocoriacea","1"
"wasplaten4","Hoed spits kegelvormig. Lamellen vrij","wasplaten5","Hoed niet opvallend spits. Lamellen smal tot breed aangehecht of aflopend","wasplaten6","1"
"wasplaten5","Steel en hoed bij beschadiging en ouderdom donker grijs tot zwart verkleurend","Hygrocybe conica","Hoed en steel bij beschadiging en ouderdom niet zwart verkleurend","Hygrocybe acutoconica","1"
"wasplaten6","Hoed droog","wasplaten7","Hoed vettig, kleverig tot slijmerig","wasplaten8","1"
"wasplaten7","Hoed klein, tot 5 cm, fel oranje tot rood, schubbig","Hygrocybe miniata","Hoed groot, tot 10 cm, perzikkleurig, glad, niet schubbig","Hygrocybe pratensis","1"
"wasplaten8","Hoed en/of steel met groene tinten","Hygrocybe psittacina","Hoed zonder groene tinten","wasplaten9","1"
"wasplaten9","Steel droog","wasplaten10","Steel kleverig tot slijmerig","wasplaten11","1"
"wasplaten10","Hoed rood, niet doorschijnend gestreept","Hygrocybe coccinea","Hoed dooiergeel, doorschijnend gestreept","Hygrocybe ceracea","1"
"wasplaten11","Lamelsnede gelatineus. Geur onaangenaam","Hygrocybe laeta","Lamelsnede niet gelatineus. Geur onopvallend","Hygrocybe insipida","1"
"trechterzwammen1","Hoed niet hygrofaan, niet wit. Hoedrand niet doorschijnend gestreept","trechterzwammen2","Hoed hygrofaan, bij opdrogen bijna wit wordend, of hoed wit. Hoedrand al dan niet gestreept","trechterzwammen7","1"
"trechterzwammen2","Lamellen gemakkelijk van het hoedvlees te scheiden (zoals bij een krulzoom), zeer dicht opeen","Lepista flaccida","Lamellen niet gemakkelijk van het hoedvlees te scheiden","trechterzwammen3","1"
"trechterzwammen3","Hoed convex tot vlak, niet trechtervormig","trechterzwammen4","Hoed trechtervormig","trechterzwammen6","1"
"trechterzwammen4","Hoed grijsgroen. Geur naar anijs","Clitocybe odora","Hoed met andere tinten. Geur niet naar anijs","trechterzwammen5","1"
"trechterzwammen5","Steel naar de basis knotsvormig gezwollen. Lamellen vrij wijd uiteen, geel. Geur zwak, zoetig","Clitocybe clavipes","Steel naar de basis niet knotsvormig gezwollen. Lamellen zeer dicht opeen, crème. Geur sterk, als Limburgse kaas","Clitocybe nebularis","1"
"trechterzwammen6","Steel wittig, bleker dan de hoed. Hoed beige, in centrum met kleine papil. Hoedrand niet geribbeld","Clitocybe gibba","Steel lichtbruin, met zelfde kleur als hoed. Hoed (licht) bruin, zonder papil in centrum. Hoedrand geribbeld","Clitocybe costata","1"
"trechterzwammen7","Vlees met toversteentje violet wordend. Meestal in bundels. Hoed wit","Clitocybe connata","Vlees met oversteentje niet verkleurend. Solitair, in kleine groepen of in heksenkringen. Hoed wit of gekleurd","trechterzwammen8","1"
"trechterzwammen8","Geur anders. Smaak niet bitter. Lamellen niet of nauwelijks gevorkt","trechterzwammen9","Geur sterk, naar spiering. Smaak bitter. Lamellen gevorkt","Clitocybe phaeophthalma","1"
